id,naver_place_id,name,category,address,lat,lng,review_count,voted_total,voter_count
2387,620146107,가화만사성,중식당,연세로5가길 1 2층,37.5570298,126.9361103,979,994,387
2388,1628142438,신촌 누룽지통닭,"치킨,닭강정",연세로 20 1층,37.5575833,126.9372433,48,117,45
2389,2085315015,마라여우 신촌본점,중식당,연세로5가길 16 2층,37.5574036,126.9358947,410,1452,398
2390,30824321,타코몽,일식당,신촌로 49,37.5570305,126.9320837,343,724,232
2391,1975933458,카페앤 신촌점,카페,연세로 14 1층,37.556944,126.9371768,451,848,315
2392,1750838187,공룡빵공장,베이커리,신촌로 20 1층 공룡빵공장,37.5578637,126.9285363,223,211,62
2393,1454181872,신소살,소고기구이,연세로5가길 8-3 1층,37.5574054,126.9360919,346,1412,320
2394,1871418225,푸디플,"카페,디저트",신촌로2안길 30 1층,37.5570735,126.9285905,1955,7573,1882
2395,1237200529,잇스시,"초밥,롤",신촌로4길 4,37.557674,126.9285482,101,405,94
2396,11885573,구이마을,돼지고기구이,연세로5가길 32,37.5573855,126.9349009,1124,3028,873
2397,2088777373,24시 카페인 코너,"카페,디저트",연세로 22 2층~4층,37.5575872,126.9371059,75,280,70
2398,38676295,타코벨 신촌점,"멕시코,남미음식",연세로 26-1 1층,37.5579944,126.9370946,2966,3415,1409
2399,2049759977,솜솜카츠 신촌본점,돈가스,연세로 18 2층,37.557163,126.9371108,2605,9657,2437
2400,20070756,자담치킨 신촌점,"치킨,닭강정",연세로7길 14 1층 자담치킨 신촌점,37.5577534,126.9360432,511,759,290
2401,35458255,준코 연세대점,요리주점,연세로4길 7,37.5570606,126.9373507,706,1997,555
2402,1733373968,꼬숑돈까스,돈가스,명물1길 2,37.5579747,126.9372941,10,32,9
2403,1845728490,마라샤오반 반이학생마라탕마라반,중식당,연세로7안길 2 2층,37.5577434,126.9364816,41,134,32
2404,11590700,신촌고기창고,"육류,고기요리",연세로7길 34-4,37.5578649,126.9350635,1180,1829,536
2405,1993559902,오디너리 아카이브,"카페,디저트",신촌로4길 5-18 1F,37.5571717,126.9293252,145,307,138
2406,1865807926,신촌부추곱창 신촌본점,"곱창,막창,양",연세로5나길 30-16 1층,37.5576148,126.9349979,2894,8982,2411
2407,11670704,긱하우스,라이브카페,연세로5길 26-17 지하,37.5568534,126.9347567,7,2,2
2408,38275441,연대포,"전통,민속주점",연세로7길 26 1층,37.5577442,126.9353109,2370,7364,1957
2409,13027492,아마 신촌본점,인도음식,연세로7길 24 2층,37.5577588,126.9354656,2013,5183,1148
2410,1850252387,7번가피자 신촌마포점,피자,신촌로 39,37.5574222,126.9310111,604,770,252
2411,1227361695,인쌩맥주 신촌점,"맥주,호프",연세로7안길 4 1층,37.5578646,126.9363873,300,615,266
2412,37943812,타이완소야 신촌본점,아시아음식,연세로7길 27,37.5575815,126.9352272,365,564,223
2413,1478555884,여몽,요리주점,연세로5가길 25 1층 여몽,37.5572336,126.9352388,166,672,147
2414,52900491,쥬마뺄,"카페,디저트",와우산로37길 42 2층 (홍대역 6번 출구 앞 2층입니다.),37.5567844,126.9287496,406,918,238
2415,1914770644,틸로스터스,"카페,디저트",신촌로2길 5-14 1층,37.5576898,126.9281427,139,586,121
2416,1282200547,카페 플레이스,카페,"연세로 20 . 2,3층",37.5574967,126.9370695,202,495,163
